,dsnum,taskname
534,ds002687,"VisuoSpatial Working Memory, Large Reward, Immediate Feedback"
535,ds002687,"Verbal Working Memory, Large Reward, Delayed Feedback"
536,ds002687,"Verbal Working Memory, Small Reward, Immediate Feedback"
537,ds002687,"VisuoSpatial Working Memory, Small Reward, Delayed Feedback"
538,ds002691,internalattention
539,ds002702,Ring
540,ds002702,floc
541,ds002711,Smiley
542,ds002712,NumbersLetters
543,ds002715,AVScenesshort
544,ds002715,AVSceneslong
545,ds002718,FaceRecognition
546,ds002720,Run
547,ds002721,Run
548,ds002722,Run
549,ds002723,Run
550,ds002724,Run
551,ds002725,genMusic02
552,ds002725,genMusic01
553,ds002725,genMusic03
554,ds002725,GeneratedMusic
555,ds002725,washout
556,ds002725,classicalMusic
557,ds002726,Giftedness
558,ds002727,silentreading
559,ds002731,retrieval
560,ds002731,encoding
561,ds002732,rating
562,ds002733,rest
563,ds002734,main
564,ds002735,rest
565,ds002737,notStroop
566,ds002737,Stroop
567,ds002739,main
568,ds002748,resting state with closed eyes
569,ds002750,rest
570,ds002766,rest
571,ds002766,Motor
572,ds002766,REST
573,ds002770,cueexposure
574,ds002776,motorseq
575,ds002778,rest
576,ds002785,workingmemory
577,ds002785,emomatching
578,ds002785,restingstate
579,ds002785,anticipation
580,ds002785,gstroop
581,ds002785,faces
582,ds002790,restingstate
583,ds002790,workingmemory
584,ds002790,emomatching
585,ds002790,stopsignal
586,ds002791,Naming
587,ds002791,Spelling
588,ds002793,tom
589,ds002793,tps
590,ds002797,Main
591,ds002799,rest
592,ds002799,es
593,ds002813,fintest
594,ds002813,imtest
595,ds002813,train
596,ds002833,PicturesNaming
597,ds002835,Prospection
598,ds002841,masscolor
599,ds002841,Localizer
600,ds002841,massfriction
601,ds002841,masstask
602,ds002842,silentreading
603,ds002843,risk choice task
604,ds002843,intertemporal choice task
605,ds002843,rest
606,ds002848,Resting state fMRI
607,ds002872,rest
608,ds002872,illusion
609,ds002873,music
610,ds002878,soccer
611,ds002879,Visual-Visual Word Rhyming
612,ds002879,Audio-Audio Non-Word Rhyming
613,ds002879,Audio-Audio Word Rhyming
614,ds002879,Visual-Visual Non-Word Rhyming
615,ds002885,Reference
616,ds002885,DSMW
617,ds002885,EmptyRoom
618,ds002885,DMW
619,ds002886,Syllogistic Reasoning
620,ds002886,Transitive Reasoning
621,ds002893,AuditoryVisualShift
622,ds002896,Rest
623,ds002898,rest
624,ds002905,maintask
625,ds002905,languagelocalizer
626,ds002938,1back
627,ds002938,effort
628,ds002940,rest
629,ds002994,fLoc
630,ds002994,fribBids
631,ds003004,ImaginedEmotion
632,ds003007,resting state with closed eyes
633,ds003011,rest eyes closed
634,ds003012,double auction
635,ds003027,rest
636,ds003029,ictal
637,ds003037,rest
638,ds003059,Rest
639,ds003061,P300
640,ds003076,Syllogistic Reasoning
641,ds003076,Transitive Reasoning
642,ds003082,mapping
643,ds003082,noise
644,ds003083,Single-Digit Multiplication
645,ds003083,Rhyming Judgement
646,ds003083,Single-Digit Subtraction
647,ds003083,Numerosity Judgement
648,ds003085,sadln
649,ds003085,happy
650,ds003085,rest
651,ds003085,sadsh
652,ds003089,StartLip
653,ds003089,StartToe
654,ds003090,task-rest
655,ds003094,Analogy
656,ds003095,run4
657,ds003095,run2
658,ds003095,run1
659,ds003095,run3
660,ds003097,moviewatching
661,ds003103,cpshop
662,ds003104,somato
663,ds003114,BAS/BIS
664,ds003145,verbgen
665,ds003146,Vocal music block-design fMRI
666,ds003148,Digit
667,ds003148,Rotation
668,ds003148,Polygon
669,ds003148,Trouble
670,ds003148,Feature
671,ds003148,SOS
672,ds003148,ML
673,ds003148,Spatial
674,ds003148,Grammatical
675,ds003148,Tree
676,ds003148,Paired
677,ds003148,Odd
678,ds003151,n-back
679,ds003170,change-point fmri
680,ds003190,cnos
681,ds003192,Breath-holds
682,ds003194,task pre nepo
683,ds003194,task 6m nepo 
684,ds003195,task placebo pre
685,ds003195,task placebo 6m 
686,ds003216,movie
687,ds003216,test
688,ds003233,wk6_wk2recap
689,ds003233,wk5_vid3
690,ds003233,wk4_vid2
691,ds003233,wk6_wk5recap
692,ds003233,wk1_vid1
693,ds003233,wk6_wk4recap
694,ds003233,wk5_vid5
695,ds003233,wk1_vid3
696,ds003233,wk4_vid1
697,ds003233,wk6_wk1recap
698,ds003233,wk6_placement
699,ds003233,wk3_vid4
700,ds003233,wk4_vid4
701,ds003233,wk3_vid2
702,ds003233,wk2_vid1
703,ds003233,wk1_vid5
704,ds003233,wk2_vid2
705,ds003233,wk5_vid2
706,ds003233,wk5_vid1
707,ds003233,wk3_vid1
708,ds003233,wk2_vid3
709,ds003233,wk3_vid3
710,ds003233,wk4_vid3
711,ds003233,wk6_wk3recap
712,ds003233,wk1_vid4
713,ds003233,wk1_vid2
714,ds003233,wk5_vid4
715,ds003342,grasp
716,ds003342,localiser
717,ds003343,fps
718,ds003345,PenaltyKik
719,ds003392,localizer
720,ds003392,noise
721,ds003399,task-sleep
722,ds003399,task-Sleep
723,ds003399,task-SPESclin
724,ds003399,task-slawtrans
725,ds003399,task-Rest
726,ds003399,task-CHOCS1
727,ds003400,task-acute
728,ds003420,Naming
729,ds003420,Spelling
730,ds003421,PicturesNaming
731,ds003424,taste
732,ds003424,rest
733,ds003430,GODtrain
734,ds003430,perceptionNaturalImageTraining
735,ds003430,deeprecon
736,ds003430,attentionNaturalTestImage
737,ds003430,GODTrain
738,ds003433,newbi4fmri_Localizer
739,ds003434,newbi4fmri_MainExp
740,ds003436,ANIM
741,ds003437,spanav
742,ds003437,motor
743,ds003437,rest
744,ds003438,newbi4fmri_VAR1_Suboptimal-Block-Designs
745,ds003439,newbi4fmri_VAR2_Baselines-and-Slow-Event-Related
746,ds003440,newbi4fmri_VAR3_Caffeine
747,ds003441,newbi4fmri_VAR4_Motion
748,ds003442,newbi4fmri_VAR5_Suboptimal-Event-Related
749,ds003443,newbi4fmri_VAR6_Adaptation
750,ds003444,newbi4fmri_VAR7_Prosopagnosia
751,ds003445,newbi4fmri_VAR8_Resting-State
752,ds003446,newbi4fmri_VAR9_7T
753,ds003452,Stern
754,ds003452,Axcpt
755,ds003452,Stroop
756,ds003452,Cuedts
757,ds003452,Rest
758,ds003453,rest
759,ds003454,RAPM Task
760,ds003455,uni
761,ds003455,rest
762,ds003455,ab
763,ds003458,ThreeArmedBandit
764,ds003464,rest
765,ds003464,opto
766,ds003465,Cuedts
767,ds003465,Stroop
768,ds003465,Stern
769,ds003465,Axcpt
770,ds003468,rest
771,ds003469,rest
772,ds003470,multar
